
2024/11/10 (12:30:51) | ===> btop++ v.1.4.0
2024/11/10 (12:30:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/10 (12:30:51) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/11/10 (12:30:51) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/10 (12:30:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/10 (12:30:51) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/10 (12:30:51) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/11/10 (12:30:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/11 (06:23:52) | ===> btop++ v.1.4.0
2024/11/11 (06:23:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/11 (06:23:52) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/11/11 (06:23:52) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/11 (06:23:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/11 (06:23:52) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/11 (06:23:52) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/11/11 (06:23:52) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/11 (16:17:02) | ===> btop++ v.1.4.0
2024/11/11 (16:17:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/11 (16:17:02) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/11/11 (16:17:02) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/11 (16:17:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/11 (16:17:02) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/11 (16:17:02) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/11/11 (16:17:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/11 (16:17:34) | ===> btop++ v.1.4.0
2024/11/11 (16:17:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/11 (16:17:34) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/11/11 (16:17:34) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/11 (16:17:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/11 (16:17:34) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/11 (16:17:34) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/11/11 (16:17:34) | WARNING: ROCm SMI: Failed to get PCIe throughput

